[2013-10-11 13:17:31,231](INFO)chinaluxus : des: 豪华轿车在整个汽车业界的地位以及需求量向来都是毋庸置疑的，凭借着良好的舒适性和广泛的适用范围，豪华轿车也一直都是富豪们购车时的第一…
[2013-10-11 15:05:57,785](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1509
[2013-10-11 15:05:57,786](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1507
[2013-10-11 15:05:57,792](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1507
[2013-10-11 15:05:57,792](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1492
[2013-10-11 15:05:57,796](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1492
[2013-10-11 15:05:57,797](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1486
[2013-10-11 15:05:57,802](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1486
[2013-10-11 15:05:57,803](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1473
[2013-10-11 15:05:57,809](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1473
[2013-10-11 15:05:57,809](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1420
[2013-10-11 15:05:57,814](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1420
[2013-10-11 15:05:57,815](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1416
[2013-10-11 15:05:57,821](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1416
[2013-10-11 15:05:57,822](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1273
[2013-10-11 15:05:57,826](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1273
[2013-10-11 15:05:57,827](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1263
[2013-10-11 15:05:57,830](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1263
[2013-10-11 15:05:57,831](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1197
[2013-10-11 15:05:57,837](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1197
[2013-10-11 15:05:57,838](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1136
[2013-10-11 15:05:57,842](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1136
[2013-10-11 15:05:57,843](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1134
[2013-10-11 15:05:57,847](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1134
[2013-10-11 15:05:57,848](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1022
[2013-10-11 15:05:57,853](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1022
[2013-10-11 15:05:57,863](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1539
[2013-10-11 15:05:57,869](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1539
[2013-10-11 15:05:57,869](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1523
[2013-10-11 15:05:57,874](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1523
[2013-10-11 15:05:57,875](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1508
[2013-10-11 15:05:57,879](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1508
[2013-10-11 15:05:57,880](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1505
[2013-10-11 15:05:57,884](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1505
[2013-10-11 15:05:57,884](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1497
[2013-10-11 15:05:57,888](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1497
[2013-10-11 15:05:57,889](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1470
[2013-10-11 15:05:57,895](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1470
[2013-10-11 15:05:57,896](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1443
[2013-10-11 15:05:57,902](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1443
[2013-10-11 15:05:57,903](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1440
[2013-10-11 15:05:57,909](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1440
[2013-10-11 15:05:57,910](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1432
[2013-10-11 15:05:57,915](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1432
[2013-10-11 15:05:57,917](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1328
[2013-10-11 15:05:57,923](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1328
[2013-10-11 15:05:57,924](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1327
[2013-10-11 15:05:57,932](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1327
[2013-10-11 15:05:57,933](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1325
[2013-10-11 15:05:57,938](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1325
[2013-10-11 15:05:57,939](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1270
[2013-10-11 15:05:57,945](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1270
[2013-10-11 15:05:57,945](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1265
[2013-10-11 15:05:57,948](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1265
[2013-10-11 15:05:57,949](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1244
[2013-10-11 15:05:57,953](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1244
[2013-10-11 15:05:57,963](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1530
[2013-10-11 15:05:57,970](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1530
[2013-10-11 15:05:57,970](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1521
[2013-10-11 15:05:57,975](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1521
[2013-10-11 15:05:57,976](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1518
[2013-10-11 15:05:57,981](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1518
[2013-10-11 15:05:57,982](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1510
[2013-10-11 15:05:57,988](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1510
[2013-10-11 15:05:57,989](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1498
[2013-10-11 15:05:57,995](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1498
[2013-10-11 15:05:57,996](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1490
[2013-10-11 15:05:58,002](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1490
[2013-10-11 15:05:58,003](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1488
[2013-10-11 15:05:58,008](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1488
[2013-10-11 15:05:58,009](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1477
[2013-10-11 15:05:58,013](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1477
[2013-10-11 15:05:58,014](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1466
[2013-10-11 15:05:58,019](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1466
[2013-10-11 15:05:58,019](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1452
[2013-10-11 15:05:58,022](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1452
[2013-10-11 15:05:58,023](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1418
[2013-10-11 15:05:58,027](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1418
[2013-10-11 15:05:58,028](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1406
[2013-10-11 15:05:58,031](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1406
[2013-10-11 15:05:58,031](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1398
[2013-10-11 15:05:58,035](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1398
[2013-10-11 15:05:58,036](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1397
[2013-10-11 15:05:58,039](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1397
[2013-10-11 15:05:58,040](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1388
[2013-10-11 15:05:58,044](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1388
[2013-10-11 15:05:59,232](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1065
[2013-10-11 15:05:59,240](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1065
[2013-10-11 15:05:59,241](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1039
[2013-10-11 15:05:59,248](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1039
[2013-10-11 15:05:59,249](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1026
[2013-10-11 15:05:59,255](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1026
[2013-10-11 15:05:59,256](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1023
[2013-10-11 15:05:59,264](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1023
[2013-10-11 15:05:59,265](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1017
[2013-10-11 15:05:59,271](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1017
[2013-10-11 15:05:59,272](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=994
[2013-10-11 15:05:59,277](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=994
[2013-10-11 15:05:59,278](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=960
[2013-10-11 15:05:59,283](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=960
[2013-10-11 15:05:59,284](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=944
[2013-10-11 15:05:59,290](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=944
[2013-10-11 15:05:59,291](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=931
[2013-10-11 15:05:59,297](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=931
[2013-10-11 15:05:59,297](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=900
[2013-10-11 15:05:59,302](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=900
[2013-10-11 15:05:59,304](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=830
[2013-10-11 15:05:59,308](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=830
[2013-10-11 15:05:59,309](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=827
[2013-10-11 15:05:59,312](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=827
[2013-10-11 15:05:59,313](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=800
[2013-10-11 15:05:59,317](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=800
[2013-10-11 15:05:59,318](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=772
[2013-10-11 15:05:59,322](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=772
[2013-10-11 15:05:59,322](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=743
[2013-10-11 15:05:59,326](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=743
[2013-10-11 15:06:12,710](INFO)neeu : link: http://www.neeu.com/news/2013-09-16/40762.html
[2013-10-11 15:06:12,770](INFO)neeu : link: http://www.neeu.com/news/2013-07-01/38731.html
[2013-10-11 15:06:12,775](INFO)neeu : link: http://www.neeu.com/news/2013-06-26/38672.html
[2013-10-11 15:06:12,781](INFO)neeu : link: http://www.neeu.com/news/2013-06-19/38468.html
[2013-10-11 15:06:12,786](INFO)neeu : link: http://www.neeu.com/news/2013-03-28/36466.html
[2013-10-11 15:06:12,789](INFO)neeu : link: http://www.neeu.com/news/2012-05-24/29291.html
[2013-10-11 15:06:12,794](INFO)neeu : link: http://www.neeu.com/news/2012-02-16/27142.html
[2013-10-11 15:06:12,799](INFO)neeu : link: http://www.neeu.com/news/2012-02-03/26886.html
[2013-10-11 15:06:12,804](INFO)neeu : link: http://www.neeu.com/news/2011-11-17/25719.html
[2013-10-11 15:06:12,809](INFO)neeu : link: http://www.neeu.com/news/2011-10-18/25179.html
[2013-10-11 15:06:12,822](INFO)neeu : link: http://www.neeu.com/news/2013-07-02/38770.html
[2013-10-11 15:06:12,829](INFO)neeu : link: http://www.neeu.com/news/2013-06-19/38494.html
[2013-10-11 15:06:12,833](INFO)neeu : link: http://www.neeu.com/news/2013-06-19/38487.html
[2013-10-11 15:06:12,838](INFO)neeu : link: http://www.neeu.com/news/2013-01-21/34939.html
[2013-10-11 15:06:12,842](INFO)neeu : link: http://www.neeu.com/news/2012-09-18/31988.html
[2013-10-11 15:06:12,846](INFO)neeu : link: http://www.neeu.com/news/2012-09-06/31679.html
[2013-10-11 15:06:12,850](INFO)neeu : link: http://www.neeu.com/news/2012-09-03/31607.html
[2013-10-11 15:06:12,855](INFO)neeu : link: http://www.neeu.com/news/2012-06-27/30143.html
[2013-10-11 15:06:12,858](INFO)neeu : link: http://www.neeu.com/news/2012-05-17/29065.html
[2013-10-11 15:06:12,861](INFO)neeu : link: http://www.neeu.com/news/2012-01-16/26609.html
[2013-10-11 15:06:12,878](INFO)neeu : link: http://www.neeu.com/news/2013-10-09/41230.html
[2013-10-11 15:06:12,883](INFO)neeu : link: http://www.neeu.com/news/2013-04-25/37121.html
[2013-10-11 15:06:12,887](INFO)neeu : link: http://www.neeu.com/news/2013-04-22/37018.html
[2013-10-11 15:06:12,892](INFO)neeu : link: http://www.neeu.com/news/2013-04-08/36651.html
[2013-10-11 15:06:12,896](INFO)neeu : link: http://www.neeu.com/news/2012-12-24/34308.html
[2013-10-11 15:06:12,900](INFO)neeu : link: http://www.neeu.com/news/2012-12-05/33881.html
[2013-10-11 15:06:12,906](INFO)neeu : link: http://www.neeu.com/news/2012-12-05/33878.html
[2013-10-11 15:06:12,911](INFO)neeu : link: http://www.neeu.com/news/2012-12-05/33877.html
[2013-10-11 15:06:12,916](INFO)neeu : link: http://www.neeu.com/news/2012-11-05/33163.html
[2013-10-11 15:06:12,921](INFO)neeu : link: http://www.neeu.com/news/2012-10-29/32969.html
[2013-10-11 15:06:13,317](INFO)neeu : link: http://www.neeu.com/news/2013-08-14/39879.html
[2013-10-11 15:06:13,324](INFO)neeu : link: http://www.neeu.com/news/2013-06-17/38381.html
[2013-10-11 15:06:13,328](INFO)neeu : link: http://www.neeu.com/news/2013-05-23/37845.html
[2013-10-11 15:06:13,334](INFO)neeu : link: http://www.neeu.com/news/2013-01-09/34713.html
[2013-10-11 15:06:13,337](INFO)neeu : link: http://www.neeu.com/news/2013-01-04/34549.html
[2013-10-11 15:06:13,341](INFO)neeu : link: http://www.neeu.com/news/2013-01-01/34505.html
[2013-10-11 15:06:13,344](INFO)neeu : link: http://www.neeu.com/news/2013-01-01/34504.html
[2013-10-11 15:06:13,348](INFO)neeu : link: http://www.neeu.com/news/2012-12-27/34423.html
[2013-10-11 15:06:13,352](INFO)neeu : link: http://www.neeu.com/news/2012-12-21/34257.html
[2013-10-11 15:06:13,356](INFO)neeu : link: http://www.neeu.com/news/2012-12-20/34241.html
[2013-10-11 15:06:13,466](INFO)neeu : link: http://www.neeu.com/news/2013-10-10/41287.html
[2013-10-11 15:06:13,474](INFO)neeu : link: http://www.neeu.com/news/2013-10-09/41241.html
[2013-10-11 15:06:13,483](INFO)neeu : link: http://www.neeu.com/news/2013-10-08/41196.html
[2013-10-11 15:06:13,490](INFO)neeu : link: http://www.neeu.com/news/2013-10-08/41197.html
[2013-10-11 15:06:13,494](INFO)neeu : link: http://www.neeu.com/news/2013-10-08/41176.html
[2013-10-11 15:06:13,498](INFO)neeu : link: http://www.neeu.com/news/2013-10-08/41178.html
[2013-10-11 15:06:13,503](INFO)neeu : link: http://www.neeu.com/news/2013-09-30/41137.html
[2013-10-11 15:06:13,509](INFO)neeu : link: http://www.neeu.com/news/2013-09-29/41092.html
[2013-10-11 15:06:13,514](INFO)neeu : link: http://www.neeu.com/news/2013-09-27/41069.html
[2013-10-11 15:06:13,519](INFO)neeu : link: http://www.neeu.com/news/2013-09-26/41043.html
[2013-10-11 15:06:14,918](INFO)neeu : link: http://www.neeu.com/news/2013-09-23/40877.html
[2013-10-11 15:06:14,925](INFO)neeu : link: http://www.neeu.com/news/2013-08-06/39641.html
[2013-10-11 15:06:14,932](INFO)neeu : link: http://www.neeu.com/news/2013-05-31/38024.html
[2013-10-11 15:06:14,938](INFO)neeu : link: http://www.neeu.com/news/2013-05-27/37903.html
[2013-10-11 15:06:14,944](INFO)neeu : link: http://www.neeu.com/news/2013-05-27/37897.html
[2013-10-11 15:06:14,950](INFO)neeu : link: http://www.neeu.com/news/2013-05-27/37889.html
[2013-10-11 15:06:14,956](INFO)neeu : link: http://www.neeu.com/news/2013-05-27/37888.html
[2013-10-11 15:06:14,963](INFO)neeu : link: http://www.neeu.com/news/2013-05-27/37887.html
[2013-10-11 15:06:14,968](INFO)neeu : link: http://www.neeu.com/news/2013-04-12/36800.html
[2013-10-11 15:06:14,975](INFO)neeu : link: http://www.neeu.com/news/2013-04-12/36799.html
[2013-10-11 15:06:23,791](INFO)neeu : link: http://www.neeu.com/news/2013-05-14/37580.html
[2013-10-11 15:06:23,798](INFO)neeu : link: http://www.neeu.com/news/2012-12-18/34170.html
[2013-10-11 15:06:23,805](INFO)neeu : link: http://www.neeu.com/news/2012-11-26/33685.html
[2013-10-11 15:06:23,812](INFO)neeu : link: http://www.neeu.com/news/2011-12-29/26369.html
[2013-10-11 15:06:23,819](INFO)neeu : link: http://www.neeu.com/news/2011-06-03/22879.html
[2013-10-11 15:06:23,825](INFO)neeu : link: http://www.neeu.com/news/2010-11-18/19300.html
[2013-10-11 15:06:23,830](INFO)neeu : link: http://www.neeu.com/news/2010-09-03/17495.html
[2013-10-11 15:06:23,835](INFO)neeu : link: http://www.neeu.com/news/2009-02-21/7615.html
[2013-10-11 15:06:23,840](INFO)neeu : link: http://www.neeu.com/news/2008-08-03/7185.html
[2013-10-11 15:06:23,847](INFO)neeu : link: http://www.neeu.com/news/2008-06-20/6963.html
[2013-10-11 15:06:23,857](INFO)neeu : link: http://www.neeu.com/news/2013-07-24/39350.html
[2013-10-11 15:06:23,861](INFO)neeu : link: http://www.neeu.com/news/2013-06-09/38266.html
[2013-10-11 15:06:23,864](INFO)neeu : link: http://www.neeu.com/news/2013-01-22/34653.html
[2013-10-11 15:06:23,868](INFO)neeu : link: http://www.neeu.com/news/2012-12-20/34234.html
[2013-10-11 15:06:23,874](INFO)neeu : link: http://www.neeu.com/news/2012-11-30/33792.html
[2013-10-11 15:06:23,879](INFO)neeu : link: http://www.neeu.com/news/2012-11-24/33664.html
[2013-10-11 15:06:23,884](INFO)neeu : link: http://www.neeu.com/news/2012-11-21/33589.html
[2013-10-11 15:06:23,889](INFO)neeu : link: http://www.neeu.com/news/2012-10-16/32597.html
[2013-10-11 15:06:23,892](INFO)neeu : link: http://www.neeu.com/news/2012-02-14/27093.html
[2013-10-11 15:06:23,899](INFO)neeu : link: http://www.neeu.com/news/2011-11-03/25469.html
[2013-10-11 15:06:23,915](INFO)neeu : link: http://www.neeu.com/news/2013-09-25/40968.html
[2013-10-11 15:06:23,919](INFO)neeu : link: http://www.neeu.com/news/2013-09-04/40416.html
[2013-10-11 15:06:23,924](INFO)neeu : link: http://www.neeu.com/news/2013-08-22/40092.html
[2013-10-11 15:06:23,928](INFO)neeu : link: http://www.neeu.com/news/2013-08-06/39660.html
[2013-10-11 15:06:23,931](INFO)neeu : link: http://www.neeu.com/news/2013-05-07/37405.html
[2013-10-11 15:06:23,935](INFO)neeu : link: http://www.neeu.com/news/2013-04-23/37047.html
[2013-10-11 15:06:23,940](INFO)neeu : link: http://www.neeu.com/news/2013-04-08/36646.html
[2013-10-11 15:06:23,946](INFO)neeu : link: http://www.neeu.com/news/2013-04-02/36531.html
[2013-10-11 15:06:23,952](INFO)neeu : link: http://www.neeu.com/news/2013-03-28/36446.html
[2013-10-11 15:06:23,959](INFO)neeu : link: http://www.neeu.com/news/2013-03-15/36153.html
[2013-10-11 15:06:23,975](INFO)neeu : link: http://www.neeu.com/news/2013-10-11/41305.html
[2013-10-11 15:06:23,980](INFO)neeu : title: 产业链缺失成中国富豪不买飞机最大障碍
[2013-10-11 15:06:23,980](INFO)neeu : icon_url: http://www.neeu.com/uploads/news/1041/41305/m1381467042727.jpg
[2013-10-11 15:06:23,980](INFO)neeu : get des
[2013-10-11 15:06:24,062](INFO)neeu : link: http://www.neeu.com/news/2013-08-29/40304.html
[2013-10-11 15:06:24,068](INFO)neeu : link: http://www.neeu.com/news/2013-08-06/39638.html
[2013-10-11 15:06:24,075](INFO)neeu : link: http://www.neeu.com/news/2013-05-13/37561.html
[2013-10-11 15:06:24,081](INFO)neeu : link: http://www.neeu.com/news/2013-04-22/37017.html
[2013-10-11 15:06:24,089](INFO)neeu : link: http://www.neeu.com/news/2013-02-25/35647.html
[2013-10-11 15:06:24,095](INFO)neeu : link: http://www.neeu.com/news/2013-02-05/35304.html
[2013-10-11 15:06:24,102](INFO)neeu : link: http://www.neeu.com/news/2013-01-23/35015.html
[2013-10-11 15:06:24,109](INFO)neeu : link: http://www.neeu.com/news/2013-01-21/34940.html
[2013-10-11 15:06:24,114](INFO)neeu : link: http://www.neeu.com/news/2013-01-21/34936.html
[2013-10-11 15:06:24,120](INFO)neeu : link: http://www.neeu.com/news/2013-01-16/34856.html
[2013-10-11 15:06:26,037](INFO)neeu : body: catch
[2013-10-11 15:06:26,038](INFO)neeu : category: plane
[2013-10-11 15:06:26,112](INFO)neeu : done one
[2013-10-11 15:06:26,113](INFO)neeu : link: http://www.neeu.com/news/2013-10-09/41229.html
[2013-10-11 15:06:26,120](INFO)neeu : link: http://www.neeu.com/news/2013-09-26/41003.html
[2013-10-11 15:06:26,125](INFO)neeu : link: http://www.neeu.com/news/2013-09-24/40964.html
[2013-10-11 15:06:26,129](INFO)neeu : link: http://www.neeu.com/news/2013-09-13/40709.html
[2013-10-11 15:06:26,133](INFO)neeu : link: http://www.neeu.com/news/2013-09-02/40343.html
